qid,question,modality,gt,pred_original,pred_blank,flip_blank,pred_white,flip_white,pred_noise,flip_noise,pred_gray,flip_gray
71,what is the plane of the image?,unknown,coronal,The image is in the coronal plane,The plane of the image is the cor,1,The plane of the image is the cor,1,The plane of the image is the cor,1,The plane of the image is the cor,1
72,what is the plane of the image?,unknown,axial,The image is in the coronal plane,The plane of the image is the cor,1,The plane of the image is the cor,1,The plane of the image is the cor,1,The plane of the image is the cor,1
73,what is abnormal in the mri?,MRI,"brain, cerebral abscess",The MRI image shows an abnormal,The MRI image shows abnormal signal,1,The MRI image shows abnormal signal,1,The mri image shows abnormal signal,1,The MRI image shows abnormal signal,1
74,what organ system is shown in the image?,unknown,musculoskeletal,The image shows the musculoske,The image shows the cardiovascular system,1,The image shows the cardiovascular system,1,"The image shows the liver, which is",1,The image shows the respiratory system,1
75,what organ system is visualized?,unknown,musculoskeletal,The image visualizes the musculos,The organ system visualized in the image,1,The organ system visualized in the image,1,The organ system visualized in the image,1,The organ system visualized in the image,1
76,the ct scan shows what organ system?,CT,heart and great vessels,The ct scan shows the thor,The ct scan shows the abdom,1,The ct scan shows the abdom,1,The ct scan shows the abdom,1,The ct scan shows the abdom,1
77,the ultrasound shows what organ system?,Ultrasound,"face, sinuses, and neck",The ultrasound image shows the thy,The ultrasound image shows the ab,1,The ultrasound image shows the ab,1,The ultrasound image shows the ab,1,The ultrasound image shows the ab,1
78,in what plane is this image taken?,unknown,pa,This image is taken in the coronal,The image is taken in the coronal,1,The image is taken in the coronal,1,This image is taken in the coronal,0,The image is taken in the coronal,1
79,what plane is demonstrated?,unknown,sagittal,The image demonstrates a sagittal,The image demonstrates the coronal plane,1,The image demonstrates a coronal plane,1,The image demonstrates the coronal plane,1,The image demonstrates a coronal plane,1
80,what organ is this image of?,unknown,spine and contents,The image is of the spinal cord,The image is of the liver.,1,The image is of the liver.,1,The image is of the liver.,1,The image is of the liver.,1
81,what type of imaging modality is shown?,unknown,ct w/contrast (iv),The image is a computed tomography (,The image is a computed tomography (,0,The image is a computed tomography (,0,The image is a CT (computed,1,The image is a computed tomography (,0
82,what organ system is pictured here?,unknown,"lung, mediastinum, pleura",The organ system pictured here is the,The organ system pictured here is the,0,The organ system pictured here is the,0,The organ system pictured here is the,0,The organ system pictured here is the,0
83,"is this image modality t1, t2, or flair?",unknown,flair,The image is a T1-weight,The image is a T1-weight,0,The image is a T1-weight,0,The image is a T1-weight,0,The image is a T1-weight,0
84,in what plane is this mri taken?,MRI,axial,The mri is taken in the cor,The mri is taken in the cor,0,The mri is taken in the cor,0,This mri is taken in the cor,1,The mri is taken in the cor,0
85,what organ system is visualized?,unknown,musculoskeletal,The image visualizes the pelvic,The organ system visualized in the image,1,The organ system visualized in the image,1,The organ system visualized in the image,1,The organ system visualized in the image,1
86,what abnormality is seen in the image?,unknown,cerebral infarct (l mca territory),The image shows a persistent trigem,The image shows a left-sided,1,The image shows a left-sided,1,The image shows a left-sided,1,The image shows a left-sided,1
87,what organ is this x-ray showing?,X-ray,"lung, mediastinum, pleura",This chest x-ray is showing the,The x-ray is showing the liver,1,The x-ray is showing the liver,1,This x-ray is showing the left,1,The x-ray is showing the liver,1
88,what is most alarming about this gastrointestinal image?,unknown,ascariasis,The most alarming aspect of this g,The most alarming aspect of this g,0,The most alarming aspect of this g,0,The most alarming aspect of this g,0,The most alarming aspect of this g,0
89,what is the plane of the ct scan?,CT,sagittal,The plane of the ct scan is,The plane of the ct scan is,0,The plane of the ct scan is,0,The plane of the ct scan is,0,The plane of the ct scan is,0
90,what is most alarming about this mri?,MRI,potts puffy tumor,The most alarming aspect of this M,The most alarming aspect of this M,0,The most alarming aspect of this M,0,The most alarming aspect of this M,0,The most alarming aspect of this M,0
91,what is the organ principally shown in this mri?,MRI,skull and contents,The organ principally shown in this M,The organ principally shown in this M,0,The organ principally shown in this M,0,The organ principally shown in this M,0,The organ principally shown in this M,0
92,what organ system is evaluated primarily?,unknown,skull and contents,The chest X-ray primarily evaluates,The organ system evaluated primarily in the context,1,The organ system evaluated primarily in the context,1,The organ system evaluated primarily in the image,1,The organ system evaluated primarily in the context,1
93,does this image look normal?,unknown,yes,It's difficult to determine if the,"Yes, the image appears to be normal",1,"Yes, the image appears to be normal",1,It's difficult to determine if the,0,"Yes, the image appears to be normal",1
94,what is most alarming about this mri?,MRI,cerebral infarct,The most alarming aspect of this M,The most alarming aspect of this M,0,The most alarming aspect of this M,0,The most alarming aspect of this M,0,The most alarming aspect of this M,0
95,what organ system is evaluated primarily?,unknown,genitourinary,The primary organ system evaluated in the image,The organ system evaluated primarily in the context,1,The organ system evaluated primarily in the context,1,The organ system evaluated primarily in the image,1,The organ system evaluated primarily in the context,1
96,what plane is seen?,unknown,axial,"The image is a coronal plane,","The image shows a coronal plane,",1,"The image shows a coronal plane,",1,"The image shows a coronal plane,",1,"The image is a coronal plane,",0
97,is this a ct scan?,CT,yes,"Yes, the image is a computed tom","Yes, the image is a CT (",1,"Yes, the image is a computed tom",0,"Yes, the image is a CT (",1,"Yes, the image is a computed tom",0
98,what plane is this mri in?,MRI,sagittal,This MRI is in the sagitt,This mri is in the coronal,1,This mri is in the coronal,1,This mri is in the coronal,1,This mri is in the coronal,1
99,is this a noncontrast mri?,MRI,yes,"Yes, the image is a noncontr","Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0
100,is this image normal?,unknown,no,"Yes, the image is described as a","Yes, the image appears to be normal",1,"Yes, the image appears to be normal",1,"Yes, the image appears to be normal",1,"Yes, the image appears to be normal",1
101,what is most alarming about this ct scan?,CT,pelvic congestion syndrome,The most alarming aspect of this CT,The most alarming aspect of this c,1,The most alarming aspect of this c,1,The most alarming aspect of this c,1,The most alarming aspect of this c,1
102,what is the plane?,unknown,pa,The plane in the image is the cor,The plane in the image is the cor,0,The plane in the image is the cor,0,The plane in the image is the cor,0,The plane in the image is the cor,0
103,in what plane is this ultrasound?,Ultrasound,sagittal,This ultrasound is in the trans,The ultrasound is in the trans,1,The ultrasound is in the trans,1,This ultrasound is in the trans,0,The ultrasound is in the trans,1
104,which organ system is imaged?,unknown,skull and contents,The image is an angiogram of,The organ system imaged in this case,1,The organ system imaged in this case,1,The organ system imaged in this image,1,The organ system imaged in the image,1
105,is this a ct scan?,CT,yes,"Yes, the image is a computed tom","Yes, the image is a CT (",1,"Yes, the image is a computed tom",0,"Yes, the image is a CT (",1,"Yes, the image is a computed tom",0
106,what plane was used in this ct scan?,CT,axial,The ct scan was taken in the,The ct scan was performed in the,1,The ct scan was performed in the,1,The ct scan was performed in the,1,The ct scan was performed in the,1
107,in what plane is this image taken?,unknown,ap,This image is taken in the coronal,The image is taken in the coronal,1,The image is taken in the coronal,1,This image is taken in the coronal,0,The image is taken in the coronal,1
108,what organ system is pictured here?,unknown,skull and contents,The organ system pictured here is the,The organ system pictured here is the,0,The organ system pictured here is the,0,The organ system pictured here is the,0,The organ system pictured here is the,0
109,what imaging plane is depicted here?,unknown,axial,"The image is a coronal plane,",The image is a sagittal plane,1,The image is a sagittal plane,1,"The image is a coronal plane,",0,The image is a sagittal plane,1
110,what plane was used in this mri?,MRI,axial,The mri was taken in the cor,The mri was performed in the cor,1,The mri was performed in the cor,1,The coronal plane was used in this,1,The coronal plane was used in this,1
111,what organ systems can be evaluated with this mri?,MRI,skull and contents,The MRI image can be used to,The MRI of the abdomen,1,The MRI of the abdomen,1,The MRI image can be used to,0,The MRI of the abdomen,1
112,what image plane is this?,unknown,axial,This is a coronal image plane.,This image is in the coronal plane,1,This image is in the coronal plane,1,This image plane is the coronal plane,1,This image is in the coronal plane,1
113,what organ system is being imaged?,unknown,heart and great vessels,The organ system being imaged is the,The organ system being imaged is the,0,The organ system being imaged is the,0,The organ system being imaged is the,0,The organ system being imaged is the,0
114,what part of the body is being imaged?,unknown,musculoskeletal,The image is an MRI of the,The image is of the left knee.,1,The image is focused on the right knee,1,The image is focused on the right knee,1,The image is an MRI of the,0
115,is there something wrong in the image?,unknown,yes,"Yes, there appears to be a mass","Yes, there appears to be a problem",1,"Yes, there appears to be a problem",1,"Yes, there appears to be a problem",1,"Yes, there appears to be a problem",1
116,in what plane is this ct scan?,CT,coronal,This ct scan is in the cor,The ct scan is in the cor,1,The ct scan is in the cor,1,This ct scan is in the cor,0,The ct scan is in the cor,1
117,what plane is this?,unknown,ap,This is a lateral plane image.,"This is a coronal plane, which",1,"This is a coronal plane, which",1,"This is a coronal plane, which",1,This is a coronal plane image.,1
118,what is abnormal in the ct scan?,CT,glomus tympanicum and glomus jugulare tumors (paraganglioma),The ct scan shows an abnormal,The ct scan shows abnormalities,1,The ct scan shows abnormalities,1,The ct scan shows abnormalities,1,The ct scan shows abnormalities,1
119,in what plane was this image taken?,unknown,coronal,The image was taken in the coronal,The image was taken in the coronal,0,The image was taken in the coronal,0,The image was taken in the coronal,0,The image was taken in the coronal,0
120,what is the plane of the ct scan?,CT,3d reconstruction,The plane of the ct scan is,The plane of the ct scan is,0,The plane of the ct scan is,0,The plane of the ct scan is,0,The plane of the ct scan is,0
121,which plane is the image shown in?,unknown,sagittal,The image is shown in the sagitt,The image is shown in the coronal,1,The image is shown in the coronal,1,The image is shown in the coronal,1,The image is shown in the coronal,1
122,what is most alarming about this ct scan?,CT,epiploic appendagitis,The most alarming aspect of this c,The most alarming aspect of this c,0,The most alarming aspect of this c,0,The most alarming aspect of this c,0,The most alarming aspect of this c,0
123,what abnormality is seen in the image?,unknown,meningioma,The image shows a large cerebellar,The image shows a left-sided,1,The image shows a left-sided,1,The image shows a left-sided,1,The image shows a left-sided,1
124,what organ system is primarily present in this image?,unknown,"lung, mediastinum, pleura",The primary organ system present in this image,The primary organ system present in this image,0,The primary organ system present in this image,0,The primary organ system present in this image,0,The primary organ system present in this image,0
125,what imaging modality is used to acquire this picture?,unknown,us - ultrasound,The image is acquired using ultrasound,The image is acquired using magnetic resonance,1,The image is acquired using magnetic resonance,1,The image is acquired using magnetic resonance,1,The image is acquired using magnetic resonance,1
126,in what plane is this ct scan?,CT,axial,This ct scan is in the cor,The ct scan is in the cor,1,The ct scan is in the cor,1,The ct scan is in the cor,1,The ct scan is in the cor,1
127,is this a t2 weighted image?,unknown,no,"Yes, the image is a T2","Yes, the image is a T2",0,"Yes, the image is a T2",0,"Yes, the image is a T2",0,"Yes, the image is a T2",0
128,is this a t2 weighted image?,unknown,no,"Yes, the image is a T2","Yes, the image is a T2",0,"Yes, the image is a T2",0,"Yes, the image is a T2",0,"Yes, the image is a T2",0
129,which organ system is shown in the ct scan?,CT,"lung, mediastinum, pleura",The ct scan shows the thor,The ct scan shows the abdom,1,The ct scan shows the abdom,1,The ct scan shows the abdom,1,The ct scan shows the abdom,1
130,what type of contrast did this patient have?,unknown,iv,The patient had a gadolinium,The patient had a gadolinium,0,The patient had a contrast-enhanced,1,The patient had a 3D-,1,The patient had a gadolinium,0
131,what is abnormal in the gastrointestinal image?,unknown,gastric volvulus (organoaxial),The gastrointestinal image shows,The gastrointestinal image shows,0,The gastrointestinal image shows,0,The gastrointestinal image shows,0,The gastrointestinal image shows,0
132,which plane is this image in?,unknown,sagittal,This image is in the sagittal,This image is in the coronal plane,1,This image is in the coronal plane,1,This image is in the coronal plane,1,This image is in the coronal plane,1
133,is this a contrast or noncontrast ct?,unknown,contrast,This is a noncontrast computed tom,The image is a noncontrast computed,1,The image is a noncontrast computed,1,This is a noncontrast computed tom,0,The image is a noncontrast computed,1
134,what is the primary abnormality in this image?,unknown,anaplastic oligodendroglioma#multi-cystic complex mass#neoplasm,The primary abnormality in this image,The primary abnormality in this image,0,The primary abnormality in this image,0,The primary abnormality in this image,0,The primary abnormality in this image,0
135,is the ultrasound normal?,Ultrasound,no,"Yes, the ultrasound appears to","Yes, the ultrasound appears to",0,"Yes, the ultrasound appears to",0,"Yes, the ultrasound appears to",0,"Yes, the ultrasound appears to",0
136,what is abnormal in the x-ray?,X-ray,periosteal desmoid,The x-ray shows an abnormal,The x-ray shows an abnormal,0,The x-ray shows an abnormal,0,The x-ray shows an abnormal,0,The x-ray shows an abnormal,0
137,is this a contrast or noncontrast ct?,unknown,noncontrast,This is a noncontrast computed tom,The image is a noncontrast computed,1,The image is a noncontrast computed,1,This is a noncontrast computed tom,0,The image is a noncontrast computed,1
138,what organ system is being imaged?,unknown,vascular and lymphatic,The organ system being imaged is the,The organ system being imaged is the,0,The organ system being imaged is the,0,The organ system being imaged is the,0,The organ system being imaged is the,0
139,what abnormality is seen in the image?,unknown,medulloblastoma (pnet),The image shows a Chiari I mal,The image shows a left-sided,1,The image shows a left-sided,1,The image shows a left-sided,1,The image shows a left-sided,1
140,was the mri taken with contrast?,MRI,yes,"Yes, the MRI was taken with","Yes, the MRI was taken with",0,"Yes, the mri was taken with",0,"Yes, the MRI was taken with",0,"Yes, the mri was taken with",0
141,what plane is this ct scan in?,CT,axial,This ct scan is in the cor,This ct scan is in the cor,0,This ct scan is in the cor,0,This ct scan is in the cor,0,This ct scan is in the cor,0
142,what plane is this film,unknown,frontal,This film is in the coronal plane,This film is in the coronal plane,0,This film is in the coronal plane,0,This film is in the coronal plane,0,This film is in the coronal plane,0
143,how was the image taken?,unknown,mr - flair,The image was taken using magnetic resonance,The image was taken using a mobile phone,1,The image was taken using a mobile phone,1,The image was taken using a computed tom,1,The image was taken using a mobile phone,1
144,in what plane is this image taken?,unknown,axial,This image is taken in the coronal,The image is taken in the coronal,1,The image is taken in the coronal,1,This image is taken in the coronal,0,The image is taken in the coronal,1
145,what imaging modality was used to take this image?,unknown,mr - flair,The image was taken using magnetic resonance,The image was taken using magnetic resonance,0,The image was taken using magnetic resonance,0,The image was taken using magnetic resonance,0,The image was taken using magnetic resonance,0
146,what modality is shown?,unknown,an - angiogram,The image is a computed tomography ang,The image shows a CT (computed,1,The image shows a CT (computed,1,The image is a CT (computed,1,The image shows a CT (computed,1
147,what is the plane of the x-ray?,X-ray,ap,The plane of the x-ray is,The plane of the x-ray is,0,The plane of the x-ray is,0,The plane of the x-ray is,0,The plane of the x-ray is,0
148,is this an mri image?,MRI,no,"Yes, the image is an MRI","Yes, it appears to be an M",1,"Yes, it appears to be an M",1,"Yes, the image is an MRI",0,"Yes, the image is an MRI",0
149,what organ system is shown in the image?,unknown,vascular and lymphatic,The image shows the musculoske,The image shows the cardiovascular system,1,The image shows the cardiovascular system,1,"The image shows the liver, which is",1,The image shows the respiratory system,1
