qid,question,modality,gt,pred_original,pred_blank,flip_blank,pred_white,flip_white,pred_noise,flip_noise,pred_gray,flip_gray
49,what abnormality is seen in the image?,unknown,"diffusely enlarged, heterogeneous right testicle suggestive of seminoma","diffusely enlarged, heterogeneous right testicle suggestive of seminoma","diffusely enlarged, heterogeneous right testicle suggestive of seminoma",0,"diffusely enlarged, heterogeneous right testicle suggestive of seminoma",0,yes,1,yes,1
50,what is abnormal in the ultrasound?,Ultrasound,renal oncocytoma - mild hydronephrosis with a mass in the lower pole of the kidney,renal oncocytoma - mild hydronephrosis with a mass in the lower pole of the kidney,renal oncocytoma - mild hydronephrosis with a mass in the lower pole of the kidney,0,renal oncocytoma - mild hydronephrosis with a mass in the lower pole of the kidney,0,yes,1,renal oncocytoma - mild hydronephrosis with a mass in the lower pole of the kidney,0
51,what is abnormal in the ct scan?,CT,"Permeative, lytic lesion with wide zone of transition and aggressive periosteal reaction",abnormal,no,1,no,1,yes,1,"Permeative, lytic lesion with wide zone of transition and aggressive periosteal reaction",1
52,what is most alarming about this x-ray?,X-ray,lucency surrounding distal tibial external fixator screw suggestive of osteomyelitis,lucency surrounding distal tibial external fixator screw suggestive of osteomyelitis,lucency surrounding distal tibial external fixator screw suggestive of osteomyelitis,0,lucency surrounding distal tibial external fixator screw suggestive of osteomyelitis,0,normal,1,lucency surrounding distal tibial external fixator screw suggestive of osteomyelitis,0
53,what is abnormal in the mri?,MRI,cord infarct with secondary atrophy,cord infarct with secondary atrophy,cord infarct with secondary atrophy,0,no,1,normal,1,yes,1
54,what is abnormal in the ct scan?,CT,pulmonary embolism,pulmonary embolism,no,1,pulmonary embolism,0,yes,1,yes,1
55,what is most alarming about this ct scan?,CT,aortic pseudoaneurysm,normal,aortic pseudoaneurysm,1,normal,0,normal,0,yes,1
56,what abnormality is seen in the image?,unknown,choledocholithiasis,choledocholithiasis,cannot determine,1,abnormal,1,yes,1,yes,1
57,what is most alarming about this mri?,MRI,a focal area of thickening of the junctional zone posteriorly compatible with focal adenomyosis.,a focal area of thickening of the junctional zone posteriorly compatible with focal adenomyosis.,no,1,a focal area of thickening of the junctional zone posteriorly compatible with focal adenomyosis.,0,normal,1,abnormal,1
58,what abnormality is seen in the image?,unknown,"dural  fistula, avf","dural  fistula, avf",cannot determine,1,abnormal,1,normal,1,yes,1
59,what is the primary abnormality in this image?,unknown,an anterior mediastinal mass suggestive of nodular sclerosing hodgkin’s lymphoma,an anterior mediastinal mass suggestive of nodular sclerosing hodgkin’s lymphoma,an anterior mediastinal mass suggestive of nodular sclerosing hodgkin’s lymphoma,0,an anterior mediastinal mass suggestive of nodular sclerosing hodgkin’s lymphoma,0,normal,1,normal,1
60,what is most alarming about this x-ray?,X-ray,occult stress fracture,normal,occult stress fracture,1,occult stress fracture,1,normal,0,normal,0
61,what is most alarming about this ct scan?,CT,nephrolithiasis,nephrolithiasis,abnormal,1,normal,1,normal,1,nephrolithiasis,0
62,what is abnormal in the mri?,MRI,enlarged subarachnoid space,normal,no,1,no,1,normal,0,yes,1
63,what abnormality is seen in the image?,unknown,stress fracture,abnormal,cannot determine,1,abnormal,0,yes,1,yes,1
64,what is the primary abnormality in this image?,unknown,pulmonary embolism,no,pulmonary embolism,1,pulmonary embolism,1,normal,1,normal,1
65,what abnormality is seen in the image?,unknown,pulmonary embolism,pulmonary embolism,pulmonary embolism,0,pulmonary embolism,0,yes,1,yes,1
66,what abnormality is seen in the image?,unknown,air within the soft tissues of the neck and the retropharyngeal space of the neck,air within the soft tissues of the neck and the retropharyngeal space of the neck,air within the soft tissues of the neck and the retropharyngeal space of the neck,0,abnormal,1,normal,1,yes,1
67,what is abnormal in the ct scan?,CT,wedge shaped areas of low attenuation in the right kidney,wedge shaped areas of low attenuation in the right kidney,wedge shaped areas of low attenuation in the right kidney,0,wedge shaped areas of low attenuation in the right kidney,0,yes,1,wedge shaped areas of low attenuation in the right kidney,0
68,what abnormality is seen in the image?,unknown,hepatic adenoma,hepatic adenoma,cannot determine,1,hepatic adenoma,0,yes,1,yes,1
69,what is most alarming about this ct scan?,CT,The common bile duct is prominently dilated and there is intrahepatic biliary ductal dilatation,The common bile duct is prominently dilated and there is intrahepatic biliary ductal dilatation,abnormal,1,The common bile duct is prominently dilated and there is intrahepatic biliary ductal dilatation,0,normal,1,yes,1
70,what is most alarming about this ultrasound?,Ultrasound,varicocele,varicocele,cannot determine,1,normal,1,normal,1,abnormal,1
71,what is seen in the image?,unknown,"normal skull X-Ray, no visible pathology","normal skull X-Ray, no visible pathology",no,1,"normal skull X-Ray, no visible pathology",0,normal,1,cannot determine,1
72,what is seen in this image?,unknown,Normal Chest - Lateral,Normal Chest - Lateral,no,1,Normal Chest - Lateral,0,normal,1,Normal Chest - Lateral,0
73,what is the primary abnormality in this image?,unknown,acute appendicitis,acute appendicitis,acute appendicitis,0,abnormal,1,normal,1,normal,1
74,what is abnormal in the mri?,MRI,hepatic adenoma,hepatic adenoma,no,1,hepatic adenoma,0,hepatic adenoma,0,yes,1
75,what is the primary abnormality in this image?,unknown,partially cystic mass left temporal lobe. No bone remodeling.,partially cystic mass left temporal lobe. No bone remodeling.,partially cystic mass left temporal lobe. No bone remodeling.,0,partially cystic mass left temporal lobe. No bone remodeling.,0,normal,1,normal,1
76,what is most alarming about this x-ray?,X-ray,a well circumscribed calcification in the right upper quadrant at the level of L3,a well circumscribed calcification in the right upper quadrant at the level of L3,a well circumscribed calcification in the right upper quadrant at the level of L3,0,normal,1,normal,1,normal,1
77,what is the primary abnormality in this image?,unknown,Large heterogeneously enhancing right hepatic mass with mass effect on left lobe consistent with hepatoblastoma,Large heterogeneously enhancing right hepatic mass with mass effect on left lobe consistent with hepatoblastoma,Large heterogeneously enhancing right hepatic mass with mass effect on left lobe consistent with hepatoblastoma,0,Large heterogeneously enhancing right hepatic mass with mass effect on left lobe consistent with hepatoblastoma,0,normal,1,Large heterogeneously enhancing right hepatic mass with mass effect on left lobe consistent with hepatoblastoma,0
78,what abnormality is seen in the image?,unknown,Diffuse thickening of meninges with enhancement,Diffuse thickening of meninges with enhancement,Diffuse thickening of meninges with enhancement,0,Diffuse thickening of meninges with enhancement,0,yes,1,yes,1
79,what is the primary abnormality in this image?,unknown,tooth-like calcifications in the right hemipelvis,tooth-like calcifications in the right hemipelvis,cannot determine,1,abnormal,1,normal,1,normal,1
80,what is the primary abnormality in this image?,unknown,horseshoe kidney,abnormal,cannot determine,1,abnormal,0,normal,1,normal,1
81,what is abnormal in the ct scan?,CT,Bilateral mediastinal adenopathy with right upper lobe airspace consolidation with a tree in-bud appearance.,Bilateral mediastinal adenopathy with right upper lobe airspace consolidation with a tree in-bud appearance.,no,1,no,1,yes,1,yes,1
82,what is most alarming about this ct scan?,CT,Large heterogeneously enhancing right hepatic mass with mass effect on left lobe.,Large heterogeneously enhancing right hepatic mass with mass effect on left lobe.,Large heterogeneously enhancing right hepatic mass with mass effect on left lobe.,0,Large heterogeneously enhancing right hepatic mass with mass effect on left lobe.,0,normal,1,Large heterogeneously enhancing right hepatic mass with mass effect on left lobe.,0
83,what abnormality is seen in the image?,unknown,endometrioma,endometrioma,cannot determine,1,abnormal,1,yes,1,yes,1
84,what is most alarming about this ct scan?,CT,Well-circumscribed heterogeneously attentuating mass in right kidney consistent with angiomyolipoma,Well-circumscribed heterogeneously attentuating mass in right kidney consistent with angiomyolipoma,Well-circumscribed heterogeneously attentuating mass in right kidney consistent with angiomyolipoma,0,Well-circumscribed heterogeneously attentuating mass in right kidney consistent with angiomyolipoma,0,normal,1,Well-circumscribed heterogeneously attentuating mass in right kidney consistent with angiomyolipoma,0
85,what is most alarming about this mri?,MRI,paraspanal mass thoracic spine suggestive of chloroma,paraspanal mass thoracic spine suggestive of chloroma,no,1,no,1,normal,1,abnormal,1
86,what is abnormal in the gastrointestinal image?,unknown,achalasia,achalasia,no,1,no,1,yes,1,yes,1
87,what is abnormal in the ct scan?,CT,Cartilage-covered exostosis along the external surface of the 4th MT bone consistent with osteochondroma,Cartilage-covered exostosis along the external surface of the 4th MT bone consistent with osteochondroma,no,1,no,1,yes,1,yes,1
88,what is most alarming about this x-ray?,X-ray,several small osteosclerotic lesions with most in a periarticular pattern consistent with osteopoikilosis,several small osteosclerotic lesions with most in a periarticular pattern consistent with osteopoikilosis,several small osteosclerotic lesions with most in a periarticular pattern consistent with osteopoikilosis,0,several small osteosclerotic lesions with most in a periarticular pattern consistent with osteopoikilosis,0,normal,1,normal,1
89,what is abnormal in the ct scan?,CT,Ascites and free pelvic fluid with mild stranding of the mesentery,Ascites and free pelvic fluid with mild stranding of the mesentery,Ascites and free pelvic fluid with mild stranding of the mesentery,0,no,1,yes,1,yes,1
90,what is the primary abnormality in this image?,unknown,rheumatoid arthritis,normal,rheumatoid arthritis,1,abnormal,1,normal,0,normal,0
91,what abnormality is seen in the image?,unknown,omphalocele after placement of the defect into the silastic silo.,normal,omphalocele after placement of the defect into the silastic silo.,1,abnormal,1,yes,1,omphalocele after placement of the defect into the silastic silo.,1
92,what abnormality is seen in the image?,unknown,"neurofibromatosis-1, nf1, nf-1","neurofibromatosis-1, nf1, nf-1",cannot determine,1,abnormal,1,yes,1,yes,1
93,what is abnormal in the gastrointestinal image?,unknown,achalasia,normal,no,1,no,1,yes,1,yes,1
94,what abnormality is seen in the image?,unknown,amyand's hernia,amyand's hernia,amyand's hernia,0,abnormal,1,yes,1,amyand's hernia,0
95,what is most alarming about this mri?,MRI,avascular necrosis of the femoral head,avascular necrosis of the femoral head,avascular necrosis of the femoral head,0,avascular necrosis of the femoral head,0,normal,1,avascular necrosis of the femoral head,0
96,what is most alarming about this ct scan?,CT,acute pyelonephritis,acute pyelonephritis,acute pyelonephritis,0,acute pyelonephritis,0,normal,1,acute pyelonephritis,0
97,what is the primary abnormality in this image?,unknown,simple bone cyst,simple bone cyst,simple bone cyst,0,simple bone cyst,0,normal,1,normal,1
98,what is the primary abnormality in this image?,unknown,"partially cystic intramedullary mass. left sided enlarged neural foramen, containing a nerve sheath tumor","partially cystic intramedullary mass. left sided enlarged neural foramen, containing a nerve sheath tumor","partially cystic intramedullary mass. left sided enlarged neural foramen, containing a nerve sheath tumor",0,"partially cystic intramedullary mass. left sided enlarged neural foramen, containing a nerve sheath tumor",0,normal,1,normal,1
99,what abnormality is seen in the image?,unknown,multiple hereditary exostosis,normal,cannot determine,1,abnormal,1,yes,1,yes,1
100,what abnormality is seen in the image?,unknown,Right paraspinal rim enhancing fluid is demonstrated compatible with a paraspinal abscess.,Right paraspinal rim enhancing fluid is demonstrated compatible with a paraspinal abscess.,Right paraspinal rim enhancing fluid is demonstrated compatible with a paraspinal abscess.,0,abnormal,1,yes,1,yes,1
101,what is the primary abnormality in this image?,unknown,osteochondroma,osteochondroma,osteochondroma,0,osteochondroma,0,normal,1,normal,1
102,what abnormality is seen in the image?,unknown,Heterogeneous echotexture to the enlarged right testicle when compared to the left.,Heterogeneous echotexture to the enlarged right testicle when compared to the left.,Heterogeneous echotexture to the enlarged right testicle when compared to the left.,0,Heterogeneous echotexture to the enlarged right testicle when compared to the left.,0,yes,1,yes,1
103,what abnormality is seen in the image?,unknown,Multiple well marginated bony masses arising from the posterior elements of the spine are suggestive of multiple osteochondromatosis,normal,cannot determine,1,abnormal,1,yes,1,yes,1
104,what is abnormal in the ct scan?,CT,right aortic arch with aberrant left subclavian artery,right aortic arch with aberrant left subclavian artery,right aortic arch with aberrant left subclavian artery,0,no,1,yes,1,yes,1
105,what abnormality is seen in the image?,unknown,an anterior mediastinal and lingular mass and mediastinal adeonopathy,an anterior mediastinal and lingular mass and mediastinal adeonopathy,an anterior mediastinal and lingular mass and mediastinal adeonopathy,0,an anterior mediastinal and lingular mass and mediastinal adeonopathy,0,yes,1,yes,1
106,what is most alarming about this ct scan?,CT,appendicitis,appendicitis,appendicitis,0,normal,1,normal,1,yes,1
107,what is the primary abnormality in this image?,unknown,right breast area of hypoechogenicity suspicious for malignancy,right breast area of hypoechogenicity suspicious for malignancy,right breast area of hypoechogenicity suspicious for malignancy,0,right breast area of hypoechogenicity suspicious for malignancy,0,normal,1,normal,1
108,what is the primary abnormality in this image?,unknown,Inhomogeneous - hypoechoic swelling of the left testicle and absent blood flow consistent with testicular torsion,Inhomogeneous - hypoechoic swelling of the left testicle and absent blood flow consistent with testicular torsion,Inhomogeneous - hypoechoic swelling of the left testicle and absent blood flow consistent with testicular torsion,0,Inhomogeneous - hypoechoic swelling of the left testicle and absent blood flow consistent with testicular torsion,0,normal,1,Inhomogeneous - hypoechoic swelling of the left testicle and absent blood flow consistent with testicular torsion,0
109,what is abnormal in the x-ray?,X-ray,Soft tissue mass with calcification and muscle enlargement left hip,Soft tissue mass with calcification and muscle enlargement left hip,Soft tissue mass with calcification and muscle enlargement left hip,0,Soft tissue mass with calcification and muscle enlargement left hip,0,yes,1,cannot determine,1
110,what is the primary abnormality in this image?,unknown,cirrhosis of the liver,cirrhosis of the liver,cannot determine,1,cirrhosis of the liver,0,normal,1,cirrhosis of the liver,0
111,what abnormality is seen in the image?,unknown,varicocele,varicocele,cannot determine,1,abnormal,1,yes,1,yes,1
112,what is abnormal in the ultrasound?,Ultrasound,cholelithiasis,cholelithiasis,cannot determine,1,no,1,yes,1,yes,1
113,what is abnormal in the ct scan?,CT,intramedullary lipoma of the spinal cord,intramedullary lipoma of the spinal cord,no,1,no,1,yes,1,yes,1
114,what is abnormal in the ct scan?,CT,pulmonary embolism,pulmonary embolism,no,1,pulmonary embolism,0,yes,1,yes,1
115,what is the primary abnormality in this image?,unknown,duplicated inferior vena cava,duplicated inferior vena cava,cannot determine,1,abnormal,1,normal,1,normal,1
116,what is most alarming about this ct scan?,CT,a large mass in the left pelvis which extends through the left superior ramus,a large mass in the left pelvis which extends through the left superior ramus,a large mass in the left pelvis which extends through the left superior ramus,0,a large mass in the left pelvis which extends through the left superior ramus,0,normal,1,a large mass in the left pelvis which extends through the left superior ramus,0
117,what is the primary abnormality in this image?,unknown,azygous lobe,azygous lobe,azygous lobe,0,azygous lobe,0,normal,1,normal,1
118,what abnormality is seen in the image?,unknown,epidural spinal hematoma,epidural spinal hematoma,cannot determine,1,abnormal,1,yes,1,yes,1
119,what is the primary abnormality in this image?,unknown,partial anomalous pulmonary venous return,no,partial anomalous pulmonary venous return,1,partial anomalous pulmonary venous return,1,normal,1,partial anomalous pulmonary venous return,1
120,what is most alarming about this x-ray?,X-ray,medial compartment subchondral sclerosis and joint effusion of the knee,medial compartment subchondral sclerosis and joint effusion of the knee,medial compartment subchondral sclerosis and joint effusion of the knee,0,normal,1,normal,1,normal,1
121,what is seen in the image?,unknown,"Transverse view of testicles demonstrates normal, symmetric appearing echotexture.","Transverse view of testicles demonstrates normal, symmetric appearing echotexture.","Transverse view of testicles demonstrates normal, symmetric appearing echotexture.",0,"Transverse view of testicles demonstrates normal, symmetric appearing echotexture.",0,no,1,cannot determine,1
122,what abnormality is seen in the image?,unknown,partial anomalous pulmonary venous return,no,partial anomalous pulmonary venous return,1,partial anomalous pulmonary venous return,1,yes,1,partial anomalous pulmonary venous return,1
123,what is the primary abnormality in this image?,unknown,"Thin, dense navicular bone consistent with kohler's disease","Thin, dense navicular bone consistent with kohler's disease",cannot determine,1,abnormal,1,normal,1,normal,1
124,what is the primary abnormality in this image?,unknown,Increased interstitial markings at the apices of both lungs suggestive of interstitial pneumonitis,Increased interstitial markings at the apices of both lungs suggestive of interstitial pneumonitis,Increased interstitial markings at the apices of both lungs suggestive of interstitial pneumonitis,0,Increased interstitial markings at the apices of both lungs suggestive of interstitial pneumonitis,0,normal,1,normal,1
125,what is abnormal in the mri?,MRI,"deltoid, supraspinatus, teres minor and infraspinatus muscle bellies demonstrate high signal intensity suggestive of Parsonage-Turner Syndrome","deltoid, supraspinatus, teres minor and infraspinatus muscle bellies demonstrate high signal intensity suggestive of Parsonage-Turner Syndrome",no,1,no,1,normal,1,yes,1
126,what abnormality is seen in the image?,unknown,Large anterior mediastinum enhancing mass lesion.,Large anterior mediastinum enhancing mass lesion.,Large anterior mediastinum enhancing mass lesion.,0,Large anterior mediastinum enhancing mass lesion.,0,yes,1,yes,1
127,what is most alarming about this x-ray?,X-ray,osteochondroma,osteochondroma,osteochondroma,0,osteochondroma,0,normal,1,normal,1
128,what abnormality is seen in the image?,unknown,intussusception,intussusception,intussusception,0,intussusception,0,yes,1,intussusception,0
129,what is most alarming about this ct scan?,CT,a rounded soft tissue density mass in the left anterior chest wall adjacent to the pectoralis major muscle and no invasion of the surrounding structures.,a rounded soft tissue density mass in the left anterior chest wall adjacent to the pectoralis major muscle and no invasion of the surrounding structures.,a rounded soft tissue density mass in the left anterior chest wall adjacent to the pectoralis major muscle and no invasion of the surrounding structures.,0,a rounded soft tissue density mass in the left anterior chest wall adjacent to the pectoralis major muscle and no invasion of the surrounding structures.,0,normal,1,yes,1
130,what is the primary abnormality in this image?,unknown,osteopoikilosis,osteopoikilosis,cannot determine,1,abnormal,1,normal,1,osteopoikilosis,0
131,what abnormality is seen in the image?,unknown,acute appendicitis,acute appendicitis,cannot determine,1,abnormal,1,yes,1,yes,1
132,what is most alarming about this ct scan?,CT,enlarged subarachnoid space,enlarged subarachnoid space,abnormal,1,normal,1,normal,1,yes,1
133,what is the primary abnormality in this image?,unknown,pneumonia,pneumonia,pneumonia,0,pneumonia,0,normal,1,normal,1
134,what is most alarming about this mri?,MRI,acl injury,normal,no,1,no,1,normal,0,abnormal,1
135,what is abnormal in the ultrasound?,Ultrasound,ectopic pregnancy,ectopic pregnancy,ectopic pregnancy,0,ectopic pregnancy,0,yes,1,yes,1
136,what is abnormal in the x-ray?,X-ray,torus fracture/buckle fracture of the distal radius,torus fracture/buckle fracture of the distal radius,torus fracture/buckle fracture of the distal radius,0,no,1,yes,1,cannot determine,1
137,what abnormality is seen in the image?,unknown,partial anomalous pulmonary venous return,partial anomalous pulmonary venous return,partial anomalous pulmonary venous return,0,partial anomalous pulmonary venous return,0,yes,1,partial anomalous pulmonary venous return,0
138,what is abnormal in the x-ray?,X-ray,torus fracture/buckle fracture of the distal radius,torus fracture/buckle fracture of the distal radius,torus fracture/buckle fracture of the distal radius,0,no,1,yes,1,cannot determine,1
139,what abnormality is seen in the image?,unknown,signal drop-out in the left adrenal mass suggestive of adrenal adenoma,signal drop-out in the left adrenal mass suggestive of adrenal adenoma,signal drop-out in the left adrenal mass suggestive of adrenal adenoma,0,signal drop-out in the left adrenal mass suggestive of adrenal adenoma,0,yes,1,yes,1
140,what is abnormal in the ct scan?,CT,hiatal hernia,hiatal hernia,no,1,no,1,yes,1,yes,1
141,what is abnormal in the angiogram?,Angiography,"dural  fistula, avf",normal,no,1,no,1,yes,1,yes,1
